ID	Zone	Depth	Treatment	Subplot	Year	Tray	FW	DW	Muffle	OM_1	OM/FW	OM
250-05-A	LM	5	ambient	A	2021	19.507	26.14	23.548	23.164	0.384	0.057892356	5.7892356
250-05-A2	LM	5	ambient	A2	2021	22.054	25.872	25.337	24.994	0.343	0.089837611	8.9837611
250-10-A	LM	10	ambient	A	2021	19.945	21.262	20.839	20.725	0.114	0.086560364	8.6560364
250-10-A2	LM	10	ambient	A2	2021	18.658	23.69	22.551	22.126	0.425	0.084459459	8.4459459
250-30-A	LM	30	ambient	A	2021	20.115	34.967	30.187	29.704	0.483	0.032520873	3.2520873
250-30-A2	LM	30	ambient	A2	2021	19.988	29.349	27.326	26.883	0.443	0.047324004	4.7324004
250-50-A	LM	50	ambient	A	2021	22.676	26.888	25.568	25.442	0.126	0.02991453	2.991453
250-50-A2	LM	50	ambient	A2	2021	19.522	29.43	27.764	27.384	0.38	0.038352846	3.8352846
251-05-A	LM	5	+1.5C	A	2021	19.956	22.347	21.653	21.523	0.13	0.054370556	5.4370556
251-05-A2	LM	5	+1.5C	A2	2021	20.232	24.609	23.655	23.419	0.236	0.053918209	5.3918209
251-10-A	LM	10	+1.5C	A	2021	22.048	24.634	23.764	23.578	0.186	0.071925754	7.1925754
251-10-A2	LM	10	+1.5C	A2	2021	19.587	21.673	21.335	21.215	0.12	0.057526366	5.7526366
251-30-A	LM	30	+1.5C	A	2021	20.083	33.306	28.338	27.92	0.418	0.031611586	3.1611586
251-30-A2	LM	30	+1.5C	A2	2021	19.895	21.949	21.692	21.601	0.091	0.044303797	4.4303797
251-50-A	LM	50	+1.5C	A	2021	19.81	29.971	26.603	26.297	0.306	0.030115146	3.0115146
251-50-A2	LM	50	+1.5C	A2	2021	20.19	27.286	25.178	24.937	0.241	0.033962796	3.3962796
252-05-A	LM	5	+3.0C	A	2021	22.513	25.582	24.222	24.043	0.179	0.058325187	5.8325187
252-05-A2	LM	5	+3.0C	A2	2021	19.1	22.081	21.399	21.201	0.198	0.066420664	6.6420664
252-10-A	LM	10	+3.0C	A	2021	19.099	20.783	20.41	20.324	0.086	0.051068884	5.1068884
252-10-A2	LM	10	+3.0C	A2	2021	20.12	21.247	21.074	21.001	0.073	0.064773736	6.4773736
252-30-A	LM	30	+3.0C	A	2021	19.961	27.36	24.762	24.533	0.229	0.030950128	3.0950128
252-30-A2	LM	30	+3.0C	A2	2021	19.62	22.164	22.021	21.951	0.07	0.027515723	2.7515723
252-50-A	LM	50	+3.0C	A	2021	19.621	30.997	26.909	26.499	0.41	0.036040788	3.6040788
